평소 어떤 카페인 음료를 가장 많이 섭취하나요?,"하루에 얼마나 자주 카페인 음료를 섭취하나요? 
(평균적으로)",카페인 음료를 가장 많이 섭취하는 시간대는 언제인가요? (평균적으로) ,카페인 음료를 섭취하는 가장 큰 이유는 무엇인가요?,카페인 음료 섭취 후 느낀 가장 큰 부작용은 무엇인가요?,자신의 카페인 음료 섭취 습관에 대해 어떻게 생각하나요?
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,집중력 저하,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오후 (14시 ~ 19시),맛,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,두통,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",2회,오후 (14시 ~ 19시),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오후 (14시 ~ 19시),맛,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,점심 (10시~14시),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),,심장 두근거림,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),즉각적인 졸음 해소,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,점심 (10시~14시),맛,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,두통,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,오후 (14시 ~ 19시),맛,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),맛,두통,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),집중력 향상,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,점심 (10시~14시),즉각적인 졸음 해소,심장 두근거림,매우 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),맛,속 쓰림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,점심 (10시~14시),맛,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),맛,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",4회 이상,오전 (6시~11시),맛,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",3회,저녁 (19시 이후),즉각적인 졸음 해소,두통,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오전 (6시~11시),맛,속 쓰림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,속 쓰림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),맛,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,오후 (14시 ~ 19시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,오후 (14시 ~ 19시),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),맛,,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),집중력 향상,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,속 쓰림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),집중력 향상,속 쓰림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),맛,두통,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,속 쓰림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),맛,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",3회,오후 (14시 ~ 19시),스트레스 해소,집중력 저하,매우 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",3회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,매우 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오전 (6시~11시),집중력 향상,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),집중력 향상,두통,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),집중력 향상,집중력 저하,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",2회,점심 (10시~14시),집중력 향상,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",3회,점심 (10시~14시),집중력 향상,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",4회 이상,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,오후 (14시 ~ 19시),집중력 향상,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,집중력 저하,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오후 (14시 ~ 19시),맛,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,두통,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",2회,오후 (14시 ~ 19시),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오후 (14시 ~ 19시),맛,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,점심 (10시~14시),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),,심장 두근거림,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,집중력 저하,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),즉각적인 졸음 해소,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,점심 (10시~14시),맛,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,두통,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,오후 (14시 ~ 19시),맛,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),맛,두통,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),집중력 향상,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,점심 (10시~14시),즉각적인 졸음 해소,심장 두근거림,매우 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),맛,속 쓰림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,점심 (10시~14시),맛,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),맛,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",4회 이상,오전 (6시~11시),맛,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",3회,저녁 (19시 이후),즉각적인 졸음 해소,두통,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오전 (6시~11시),맛,속 쓰림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",4회 이상,저녁 (19시 이후),맛,속 쓰림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),집중력 향상,심장 두근거림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,저녁 (19시 이후),맛,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,오후 (14시 ~ 19시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,오후 (14시 ~ 19시),즉각적인 졸음 해소,심장 두근거림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),맛,,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),집중력 향상,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,속 쓰림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),집중력 향상,속 쓰림,조금 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),즉각적인 졸음 해소,심장 두근거림,문제가 없다
"커피 (아메리카노, 라떼 등)",1회,저녁 (19시 이후),맛,두통,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,속 쓰림,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",1회,저녁 (19시 이후),맛,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",3회,오후 (14시 ~ 19시),스트레스 해소,집중력 저하,매우 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",3회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,매우 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",1회,오전 (6시~11시),집중력 향상,잠이 잘 오지 않음,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),집중력 향상,두통,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,저녁 (19시 이후),집중력 향상,집중력 저하,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",2회,점심 (10시~14시),집중력 향상,속 쓰림,문제가 없다
"커피 (아메리카노, 라떼 등)",2회,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,문제가 없다
"에너지드링크 (레드불, 몬스터 등)",3회,점심 (10시~14시),집중력 향상,심장 두근거림,조금 과도하다고 생각한다
"커피 (아메리카노, 라떼 등)",4회 이상,오전 (6시~11시),즉각적인 졸음 해소,잠이 잘 오지 않음,매우 과도하다고 생각한다
"에너지드링크 (레드불, 몬스터 등)",1회,오후 (14시 ~ 19시),집중력 향상,심장 두근거림,조금 과도하다고 생각한다